,排名,电影中文名,电影外文名,电影别名,导演,演员,年份,地区,类别,评分,评分人数,电影概况
0,1,肖申克的救赎,The Shawshank Redemption,月黑高飞(港)  /  刺激1995(台), 弗兰克·德拉邦特 Frank Darabont, 蒂姆·罗宾斯 Tim Robbins /...,1994,美国,犯罪 剧情,9.6,1008824人评价,希望让人自由。
1,2,霸王别姬,,再见，我的妾  /  Farewell My Concubine, 陈凯歌 Kaige Chen, 张国荣 Leslie Cheung / 张丰毅 Fengyi Zha...,1993,中国大陆 香港,剧情 爱情 同性,9.5,733571人评价,风华绝代。
2,3,这个杀手不太冷,Léon,杀手莱昂  /  终极追杀令(台), 吕克·贝松 Luc Besson, 让·雷诺 Jean Reno / 娜塔莉·波特曼 ...,1994,法国,剧情 动作 犯罪,9.4,947604人评价,怪蜀黍和小萝莉不得不说的故事。
3,4,阿甘正传,Forrest Gump,福雷斯特·冈普, Robert Zemeckis, Tom Hanks / Robin Wright Penn / Gary Sinise,1994,美国,剧情 爱情,9.4,805947人评价,一部美国近现代史。
4,5,美丽人生,La vita è bella,一个快乐的传说(港)  /  Life Is Beautiful, 罗伯托·贝尼尼 Roberto Benigni, 罗伯托·贝尼尼 Roberto Beni...,1997,意大利,剧情 喜剧 爱情 战争,9.5,470685人评价,最美的谎言。
5,6,千与千寻,千と千尋の神隠し,神隐少女(台)  /  Spirited Away, 宫崎骏 Hayao Miyazaki, 柊瑠美 Rumi Hîragi / 入野自由 Miy...,2001,日本,剧情 动画 奇幻,9.2,754286人评价,最好的宫崎骏，最好的久石让。
6,7,泰坦尼克号,Titanic,铁达尼号(港 / 台), 詹姆斯·卡梅隆 James Cameron, 莱昂纳多·迪卡普里奥 Leonardo...,1997,美国,剧情 爱情 灾难,9.2,745602人评价,失去的才是永恒的。
7,8,辛德勒的名单,Schindler's List,舒特拉的名单(港)  /  辛德勒名单, 史蒂文·斯皮尔伯格 Steven Spielberg, 连姆·尼森 Liam Neeson...,1993,美国,剧情 历史 战争,9.4,428685人评价,拯救一个人，就是拯救整个世界。
8,9,盗梦空间,Inception,潜行凶间(港)  /  全面启动(台), 克里斯托弗·诺兰 Christopher Nolan, 莱昂纳多·迪卡普里奥 Le...,2010,美国 英国,剧情 科幻 悬疑 冒险,9.3,846293人评价,诺兰给了我们一场无法盗取的梦。
9,10,机器人总动员,WALL·E,瓦力(台)  /  太空奇兵·威E(港), 安德鲁·斯坦顿 Andrew Stanton, 本·贝尔特 Ben Burtt / 艾丽...,2008,美国,爱情 科幻 动画 冒险,9.3,554865人评价,小瓦力，大人生。
10,11,海上钢琴师,La leggenda del pianista sull'oceano,声光伴我飞(港)  /  一九零零的传奇, 朱塞佩·托纳多雷 Giuseppe Tornatore, 蒂姆·罗斯 Tim Roth / ...,1998,意大利,剧情 音乐,9.2,652774人评价,每个人都要走一条自己坚定了的路，就算是粉身碎骨。
11,12,三傻大闹宝莱坞,3 Idiots,三个傻瓜(台)  /  作死不离3兄弟(港), 拉库马·希拉尼 Rajkumar Hirani, 阿米尔·汗 Aamir Khan / 卡...,2009,印度,剧情 喜剧 爱情 歌舞,9.2,760112人评价,英俊版憨豆，高情商版谢耳朵。
12,13,忠犬八公的故事,Hachi: A Dog's Tale,忠犬小八(台)  /  秋田犬八千(港), 莱塞·霍尔斯道姆 Lasse Hallström, 理查·基尔 Richard Ger...,2009,美国 英国,剧情,9.2,523398人评价,永远都不能忘记你所爱的人。
13,14,放牛班的春天,Les choristes,歌声伴我心(港)  /  唱诗班男孩, 克里斯托夫·巴拉蒂 Christophe Barratier, 杰拉尔·朱诺 Géra...,2004,法国 瑞士 德国,剧情 音乐,9.2,508073人评价,天籁一般的童声，是最接近上帝的存在。
14,15,大话西游之大圣娶亲,西遊記大結局之仙履奇緣,西游记完结篇仙履奇缘  /  齐天大圣西游记, 刘镇伟 Jeffrey Lau, 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,1995,香港 中国大陆,喜剧 爱情 奇幻 冒险,9.2,555196人评价,一生所爱。
15,16,楚门的世界,The Truman Show,真人Show(港)  /  真人戏, 彼得·威尔 Peter Weir, 金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau...,1998,美国,剧情 科幻,9.1,526091人评价,如果再也不能见到你，祝你早安，午安，晚安。
16,17,教父,The Godfather,Mario Puzo's The Godfather, 弗朗西斯·福特·科波拉 Francis Ford Coppola, 马龙·白兰度 M...,1972,美国,剧情 犯罪,9.2,381681人评价,千万不要记恨你的对手，这样会让你失去理智。
17,18,龙猫,となりのトトロ,邻居托托罗  /  邻家的豆豆龙, 宫崎骏 Hayao Miyazaki, 日高法子 Noriko Hidaka / 坂本千夏 Ch...,1988,日本,儿童 动画 奇幻 家庭,9.1,468804人评价,人人心中都有个龙猫，童年就永远不会消失。
18,19,熔炉,도가니,无声呐喊(港)  /  漩涡, 黄东赫 Dong-hyuk Hwang, 孔侑 Yoo Gong / 郑有美 Yu-mi Jeong ...,2011,韩国,剧情,9.2,305212人评价,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
19,20,乱世佳人,Gone with the Wind,飘, 维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor, 托...,1939,美国,剧情 历史 爱情 战争,9.2,297080人评价,Tomorrow is another day.
20,21,星际穿越,Interstellar,星际启示录(港)  /  星际效应(台), 克里斯托弗·诺兰 Christopher Nolan, 马修·麦康纳 Matthew Mc...,2014,美国 英国 加拿大 冰岛,剧情 科幻 冒险,9.2,554089人评价,爱是一种力量，让我们超越时空感知它的存在。
21,22,触不可及,Intouchables,闪亮人生(港)  /  逆转人生(台), 奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano,NaN,2011,法国,剧情 喜剧,9.1,411588人评价,满满温情的高雅喜剧。
22,23,无间道,無間道,Infernal Affairs  /  Mou gaan dou, 刘伟强 / 麦兆辉, 刘德华 / 梁朝伟 / 黄秋生,2002,香港,剧情 犯罪 悬疑,9.0,453312人评价,香港电影史上永不过时的杰作。
23,24,当幸福来敲门,The Pursuit of Happyness,寻找快乐的故事(港)  /  追求快乐, 加布里尔·穆奇诺 Gabriele Muccino, 威尔·史密斯 Will Smith ...,2006,美国,剧情 传记 家庭,8.9,600884人评价,平民励志片。
24,25,天堂电影院,Nuovo Cinema Paradiso,星光伴我心(港)  /  新天堂乐园(台), 朱塞佩·托纳多雷 Giuseppe Tornatore, 安东娜拉·塔莉 Antonel...,1988,意大利 法国,剧情 爱情,9.1,335730人评价,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。
25,26,怦然心动,Flipped,萌动青春  /  青春萌动, 罗伯·莱纳 Rob Reiner, 玛德琳·卡罗尔 Madeline Carroll / 卡...,2010,美国,剧情 喜剧 爱情,8.9,626543人评价,真正的幸福是来自内心深处。
26,27,十二怒汉,12 Angry Men,12怒汉  /  十二怒汉, Sidney Lumet, 亨利·方达 Henry Fonda / 马丁·鲍尔萨姆 Marti...,1957,美国,剧情,9.4,189223人评价,1957年的理想主义。
27,28,搏击俱乐部,Fight Club,搏击会(港)  /  斗阵俱乐部(台), 大卫·芬奇 David Fincher, 爱德华·诺顿 Edward Norton / 布拉...,1999,美国 德国,剧情 动作 悬疑 惊悚,9.0,431827人评价,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。
28,29,少年派的奇幻漂流,Life of Pi,少年Pi的奇幻漂流  /  漂流少年Pi, 李安 Ang Lee, 苏拉·沙玛 Suraj Sharma / 伊尔凡·可汗 Irrfan...,2012,美国 台湾 英国 加拿大,剧情 奇幻 冒险,9.0,635608人评价,瑰丽壮观、无人能及的冒险之旅。
29,30,鬼子来了,Devils on the Doorstep,, 姜文 Wen Jiang, 姜文 Wen Jiang / 香川照之 Teruyuki Kagawa /...,2000,中国大陆,剧情 历史 战争,9.2,257388人评价,对敌人的仁慈，就是对自己残忍。
30,31,蝙蝠侠：黑暗骑士,The Dark Knight,蝙蝠侠前传2：黑暗骑士  /  黑暗骑士(台), 克里斯托弗·诺兰 Christopher Nolan, 克里斯蒂安·贝尔 Christ...,2008,美国 英国,剧情 动作 科幻 犯罪 惊悚,9.0,363542人评价,无尽的黑暗。
31,32,指环王3：王者无敌,The Lord of the Rings: The Return of the King,魔戒三部曲：王者再临(台 / 港), 彼得·杰克逊 Peter Jackson, 维果·莫腾森 Viggo Mortensen / ...,2003,美国 新西兰,剧情 动作 奇幻 冒险,9.1,312406人评价,史诗的终章。
32,33,活着,,人生  /  Lifetimes, 张艺谋 Yimou Zhang, 葛优 You Ge / 巩俐 Li Gong / 姜武 Wu Jiang,1994,中国大陆 香港,剧情 历史 家庭,9.1,303032人评价,张艺谋最好的电影。
33,34,天空之城,天空の城ラピュタ,Tenkû no shiro Rapyuta  /  Laputa: Castle in the Sky, 宫崎骏 Hayao Miyazaki, 田中真弓 Mayumi Tanaka / 横泽启子 Ke...,1986,日本,动画 奇幻 冒险,9.0,366674人评价,对天空的追逐，永不停止。
34,35,罗马假日,Roman Holiday,金枝玉叶(港)  /  罗马假期(台), 威廉·惠勒 William Wyler, 奥黛丽·赫本 Audrey Hepburn / 格...,1953,美国,喜剧 剧情 爱情,8.9,422809人评价,爱情哪怕只有一天。
35,36,大话西游之月光宝盒,西遊記第壹佰零壹回之月光寶盒,西游记101回月光宝盒  /  齐天大圣东游记, 刘镇伟 Jeffrey Lau, 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,1995,香港 中国大陆,喜剧 爱情 奇幻 冒险,8.9,446848人评价,旷古烁今。
36,37,疯狂动物城,Zootopia,优兽大都会(港)  /  动物方城市(台), 拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore, 金妮弗·...,2016,美国,喜剧 动画 冒险,9.2,577971人评价,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
37,38,飞屋环游记,Up,冲天救兵(港)  /  天外奇迹(台), 彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson, 爱德...,2009,美国,剧情 喜剧 动画 冒险,8.9,550048人评价,最后那些最无聊的事情，才是最值得怀念的。
38,39,窃听风暴,Das Leben der Anderen,他人的生活  /  别人的生活, 弗洛里安·亨克尔·冯·多纳斯马 Florian Henckel von Donnersmarck,NaN,2006,德国,剧情 悬疑,9.1,247165人评价,别样人生。
39,40,两杆大烟枪,"Lock, Stock and Two Smoking Barrels",够姜四小强(港)  /  两根枪管(台), Guy Ritchie, Jason Flemyng / Dexter Fletcher / Nick Moran,1998,英国,剧情 喜剧 犯罪,9.1,294725人评价,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。
40,41,飞越疯人院,One Flew Over the Cuckoo's Nest,飞越杜鹃窝  /  飞越喜鹊巢, 米洛斯·福尔曼 Miloš Forman, 杰克·尼科尔森 Jack Nichols...,1975,美国,剧情,9.0,298998人评价,自由万岁。
41,42,控方证人,Witness for the Prosecution,雄才伟略  /  情妇, 比利·怀尔德 Billy Wilder, 查尔斯·劳顿 Charles Laughton / ...,1957,美国,剧情 犯罪 悬疑,9.6,109160人评价,比利·怀德满分作品。
42,43,闻香识女人,Scent of a Woman,女人香  /  女人的芳香, 马丁·布莱斯 Martin Brest, 阿尔·帕西诺 Al Pacino / 克里斯...,1992,美国,剧情,8.9,355325人评价,史上最美的探戈。
43,44,哈尔的移动城堡,ハウルの動く城,呼啸山城  /  霍尔的移动城堡, 宫崎骏 Hayao Miyazaki, 倍赏千惠子 Chieko Baishô / 木村拓...,2004,日本,动画 奇幻 冒险,8.9,389448人评价,带着心爱的人在天空飞翔。
44,45,海豚湾,The Cove,血色海湾(台)  /  海湾, Louie Psihoyos, John Chisholm / Mandy-Rae Cruikshank / Char...,2009,美国,纪录片,9.3,194793人评价,海豚的微笑，是世界上最高明的伪装。
45,46,V字仇杀队,V for Vendetta,V煞(港)  /  V怪客(台), 詹姆斯·麦克特格 James McTeigue, 娜塔莉·波特曼 Natalie Por...,2005,美国 英国 德国,剧情 动作 科幻 惊悚,8.8,460286人评价,一张面具背后的理想与革命。
46,47,辩护人,변호인,逆权大状(港)  /  正义辩护人(台), 杨宇硕 Woo-seok Yang, 宋康昊 Kang-ho Song / 吴达洙 Dal-su O...,2013,韩国,剧情,9.1,234289人评价,电影的现实意义大过电影本身。
47,48,死亡诗社,Dead Poets Society,暴雨骄阳(港)  /  春风化雨(台), 彼得·威尔 Peter Weir, 罗宾·威廉姆斯 Robin Williams / 罗伯...,1989,美国,剧情,9.0,306198人评价,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
48,49,教父2,The Godfather: Part Ⅱ,教父续集  /  教父II, 弗朗西斯·福特·科波拉 Francis Ford Coppola, 阿尔·帕西诺 A...,1974,美国,剧情 犯罪,9.1,205663人评价,优雅的孤独。
49,50,美丽心灵,A Beautiful Mind,有你终生美丽(港)  /  美丽境界(台), 朗·霍华德 Ron Howard, 罗素·克劳 Russell Crowe / 詹妮弗·...,2001,美国,传记 剧情,8.9,331313人评价,爱是一切逻辑和原由。
50,51,指环王2：双塔奇兵,The Lord of the Rings: The Two Towers,魔戒二部曲：双城奇谋  /  指环王II：双塔, 彼得·杰克逊 Peter Jackson, 伊利亚·伍德 Elijah Wood / 西恩...,2002,美国 新西兰,剧情 动作 奇幻 冒险,9.0,293882人评价,承前启后的史诗篇章。
51,52,指环王1：魔戒再现,The Lord of the Rings: The Fellowship of the Ring,魔戒首部曲：魔戒现身  /  指环王I：护戒使者, 彼得·杰克逊 Peter Jackson, 伊利亚·伍德 Elijah Wood / 西恩...,2001,新西兰 美国,剧情 动作 奇幻 冒险,8.9,328869人评价,传说的开始。
52,53,情书,Love Letter,When I Close My Eyes  /  Letters of Love, 岩井俊二 Shunji Iwai, 中山美穗 Miho Nakayama / 丰川悦司 Ets...,1995,日本,剧情 爱情,8.8,408324人评价,暗恋的极致。
53,54,饮食男女,飲食男女,Eat Drink Man Woman, 李安 Ang Lee, 郎雄 Sihung Lung / 杨贵媚 Kuei-Mei Yang / 吴...,1994,台湾 美国,剧情 家庭,9.1,220935人评价,人生不能像做菜，把所有的料都准备好了才下锅。
54,55,美国往事,Once Upon a Time in America,四海兄弟(台)  /  义薄云天(港), 赛尔乔·莱翁内 Sergio Leone, 罗伯特·德尼罗 Robert De Niro ...,1984,意大利 美国,犯罪 剧情,9.1,190058人评价,往事如烟，无处祭奠。
55,56,摔跤吧！爸爸,Dangal,我和我的冠军女儿(台)  /  打死不离3父女(港), 涅提·蒂瓦里 Nitesh Tiwari, 阿米尔·汗 Aamir Khan / 法缇玛...,2016,印度,剧情 传记 运动 家庭,9.1,509736人评价,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。
56,57,狮子王,The Lion King,狮子王3D, Roger Allers / 罗伯·明可夫 Rob Minkoff, 乔纳森·泰勒·托马...,1994,美国,剧情 动画 冒险 歌舞 家庭,8.9,306780人评价,动物版《哈姆雷特》。
57,58,钢琴家,The Pianist,战地琴声(台)  /  战地琴人, 罗曼·波兰斯基 Roman Polanski, 艾德里安·布洛迪 Adrien Brod...,2002,法国 德国 英国 波兰,剧情 传记 历史 战争 音乐,9.0,218736人评价,音乐能化解仇恨。
58,59,天使爱美丽,Le fabuleux destin d'Amélie Poulain,艾蜜莉的异想世界(台)  /  天使艾米莉, 让-皮埃尔·热内 Jean-Pierre Jeunet, 奥黛丽·塔图 Audrey Tau...,2001,法国 德国,喜剧 爱情,8.7,516858人评价,法式小清新。
59,60,七宗罪,Se7en,火线追缉令(台)  /  7宗罪, 大卫·芬奇 David Fincher, 摩根·弗里曼 Morgan Freeman / 布...,1995,美国,剧情 犯罪 悬疑 惊悚,8.7,465906人评价,警察抓小偷，老鼠玩死猫。
60,61,素媛,소원,许愿  /  希望：为爱重生(台), 李濬益 Jun-ik Lee, 薛景求 Kyung-gu Sol / 严志媛 Ji-won Uhm ...,2013,韩国,剧情,9.1,203010人评价,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
61,62,被嫌弃的松子的一生,嫌われ松子の一生,花样奇缘(港)  /  令人讨厌的松子的一生(台), 中岛哲也 Tetsuya Nakashima, 中谷美纪 Miki Nakatani / 瑛太 E...,2006,日本,剧情 歌舞,8.9,317180人评价,以戏谑来戏谑戏谑。
62,63,小鞋子,بچههای آسمان,天堂的孩子  /  小童鞋, 马基德·马基迪 Majid Majidi, Amir Farrokh Hashemian / 默罕...,1997,伊朗,剧情 家庭 儿童,9.2,151961人评价,奔跑的孩子是天使。
63,64,致命魔术,The Prestige,顶尖对决(台)  /  死亡魔法(港), 克里斯托弗·诺兰 Christopher Nolan, 休·杰克曼 Hugh Jackman...,2006,美国 英国,剧情 悬疑 惊悚,8.8,372934人评价,孪生蝙蝠侠大战克隆金刚狼。
64,65,音乐之声,The Sound of Music,仙乐飘飘处处闻(港)  /  真善美(台), Robert Wise, 朱丽·安德鲁斯 Julie Andrews / 克里斯托弗·普...,1965,美国,剧情 传记 爱情 歌舞,8.9,249544人评价,用音乐化解仇恨，让歌声串起美好。
65,66,勇敢的心,Braveheart,惊世未了缘(港)  /  梅尔吉勃逊之英雄本色(台), 梅尔·吉布森 Mel Gibson, 梅尔·吉布森 Mel Gibson / 苏菲·玛...,1995,美国,动作 传记 剧情 历史 战争,8.8,313433人评价,史诗大片的典范。
66,67,剪刀手爱德华,Edward Scissorhands,幻海奇缘(港)  /  剪刀手爱德华, Tim Burton, 约翰尼·德普 Johnny Depp / 薇诺娜·瑞德 Winona ...,1990,美国,剧情 奇幻 爱情,8.7,520029人评价,浪漫忧郁的成人童话。
67,68,本杰明·巴顿奇事,The Curious Case of Benjamin Button,奇幻逆缘(港)  /  返老还童, 大卫·芬奇 David Fincher, 凯特·布兰切特 Cate Blanchett / ...,2008,美国,剧情 爱情 奇幻,8.8,422610人评价,在时间之河里感受溺水之苦。
68,69,看不见的客人,Contratiempo,佈局(台)  /  死无对证(港), 奥里奥尔·保罗 Oriol Paulo, 马里奥·卡萨斯 Mario Casas / 阿...,2016,西班牙,剧情 犯罪 悬疑 惊悚,8.8,370572人评价,你以为你以为的就是你以为的。
69,70,低俗小说,Pulp Fiction,黑色追緝令(台)  /  危险人物(港), 昆汀·塔伦蒂诺 Quentin Tarantino, 约翰·特拉沃尔塔 John Tra...,1994,美国,剧情 喜剧 犯罪,8.8,361841人评价,故事的高级讲法。
70,71,西西里的美丽传说,Malèna,真爱伴我行(台)  /  玛莲娜, 朱塞佩·托纳多雷 Giuseppe Tornatore, 莫妮卡·贝鲁奇 Monica ...,2000,意大利 美国,剧情 战争 情色,8.7,381572人评价,美丽无罪。
71,72,拯救大兵瑞恩,Saving Private Ryan,雷霆救兵(港)  /  抢救雷恩大兵(台), 史蒂文·斯皮尔伯格 Steven Spielberg, 汤姆·汉克斯 Tom Hanks...,1998,美国,剧情 历史 战争,8.9,259924人评价,美利坚精神输出大片No1.
72,73,黑客帝国,The Matrix,廿二世纪杀人网络(港)  /  骇客任务(台), 安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski,NaN,1999,美国 澳大利亚,动作 科幻,8.8,304311人评价,视觉革命。
73,74,沉默的羔羊,The Silence of the Lambs,沉默的羔羊, 乔纳森·戴米 Jonathan Demme, 朱迪·福斯特 Jodie Foster / 安...,1991,美国,剧情 犯罪 惊悚,8.7,380683人评价,安东尼·霍普金斯的顶级表演。
74,75,入殓师,おくりびと,礼仪师之奏鸣曲(港)  /  礼仪师(台), 泷田洋二郎 Yôjirô Takita, 本木雅弘 Masahiro Motoki / ...,2008,日本,剧情,8.8,336491人评价,死可能是一道门，逝去并不是终结，而是超越，走向下一程。
75,76,蝴蝶效应,The Butterfly Effect,蝴蝶效应, 埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber,NaN,2004,美国 加拿大,剧情 悬疑 科幻 惊悚,8.7,410991人评价,人的命运被自己瞬间的抉择改变。
76,77,让子弹飞,,让子弹飞一会儿  /  火烧云, 姜文 Wen Jiang, 姜文 Wen Jiang / 葛优 You Ge / 周润发 Yun-F...,2010,中国大陆 香港,剧情 喜剧 动作 西部,8.7,671505人评价,你给我翻译翻译，神马叫做TMD的惊喜。
77,78,玛丽和马克思,Mary and Max,巧克力情缘(台)  /  同是天涯寂寞客, 亚当·艾略特 Adam Elliot, 托妮·科莱特 Toni Collette / 菲利...,2009,澳大利亚,剧情 动画,8.9,243465人评价,你是我最好的朋友，你是我唯一的朋友 。
78,79,春光乍泄,春光乍洩,一起快乐  /  Happy Together, 王家卫 Kar Wai Wong, 张国荣 Leslie Cheung / 梁朝伟 Tony Leu...,1997,香港 日本 韩国,剧情 爱情 同性,8.8,267521人评价,爱情纠缠，男女一致。
79,80,大闹天宫,,大闹天宫 上下集  /  The Monkey King, 万籁鸣 Laiming Wan / 唐澄 Cheng  Tang, 邱岳峰 Yuefeng Qiu /...,1961(中国大陆) / 1964(中国大陆) / 1978(中国大陆) / 2004(中国大陆),中国大陆,动画 奇幻,9.2,110416人评价,经典之作，历久弥新。
80,81,心灵捕手,Good Will Hunting,骄阳似我(港)  /  心灵捕手, 格斯·范·桑特 Gus Van Sant, 马特·达蒙 Matt Damon / 罗宾·...,1997,美国,剧情,8.8,292896人评价,人生中应该拥有这样的一段豁然开朗。
81,82,阳光灿烂的日子,In the Heat of the Sun,, 姜文 Wen Jiang, 夏雨 Yu Xia / 宁静 Jing Ning / 陶虹 Hong Tao,1994,中国大陆 香港,剧情,8.8,290419人评价,一场华丽的意淫。
82,83,幽灵公主,もののけ姫,魔法公主  /  幽灵少女, 宫崎骏 Hayao Miyazaki, 松田洋治 Yôji Matsuda / 石田百合...,1997,日本,动作 爱情 战争 动画 奇幻 冒险,8.8,252396人评价,人与自然的战争史诗。
83,84,第六感,The Sixth Sense,灵异第六感  /  鬼眼, M·奈特·沙马兰 M. Night Shyamalan, 布鲁斯·威利斯 Bruce Wi...,1999,美国,剧情 悬疑 惊悚,8.8,250776人评价,深入内心的恐怖，出人意料的结局。
84,85,末代皇帝,The Last Emperor,末代皇帝溥仪(港), 贝纳尔多·贝托鲁奇 Bernardo Bertolucci, 尊龙 John Lone / 陈...,1987,意大利 中国大陆 英国 法国,剧情 传记 历史,8.9,186281人评价,“不要跟我比惨，我比你更惨”再适合这部电影不过了。
85,86,重庆森林,重慶森林,Chungking Express, 王家卫 Kar Wai Wong, 林青霞 Brigitte Lin / 金城武 Takeshi K...,1994,香港,剧情 爱情,8.7,355743人评价,寂寞没有期限。
86,87,禁闭岛,Shutter Island,不赦岛(港)  /  隔离岛(台), Martin Scorsese, 莱昂纳多·迪卡普里奥 Leonardo DiCaprio / ...,2010,美国,剧情 悬疑 惊悚,8.7,386460人评价,昔日翩翩少年，今日大腹便便。
87,88,大鱼,Big Fish,大鱼奇缘(港)  /  大智若鱼(台), 蒂姆·波顿 Tim Burton, 伊万·麦克格雷格 Ewan McGregor / 阿...,2003,美国,剧情 家庭 奇幻 冒险,8.7,269744人评价,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。
88,89,布达佩斯大饭店,The Grand Budapest Hotel,布达佩斯大酒店(港)  /  欢迎来到布达佩斯大饭店(台), 韦斯·安德森 Wes Anderson, 拉尔夫·费因斯 Ralph Fiennes / ...,2014,美国 德国 英国,剧情 喜剧,8.8,340366人评价,小清新的故事里注入了大历史的情怀。
89,90,狩猎,Jagten,谎言的烙印(台)  /  诬网(港), 托马斯·温特伯格 Thomas Vinterberg, 麦斯·米科尔森 Mads Mik...,2012,丹麦 瑞典,剧情,9.0,141009人评价,人言可畏。
90,91,哈利·波特与魔法石,Harry Potter and the Sorcerer's Stone,哈利波特1：神秘的魔法石(港 / 台), Chris Columbus, Daniel Radcliffe / Emma Watson / Rupert Grint,2001,美国 英国,奇幻 冒险,8.7,281393人评价,童话世界的开端。
91,92,射雕英雄传之东成西就,射鵰英雄傳之東成西就,东成西就  /  大英雄 (日本), 刘镇伟 Jeffrey Lau, 梁朝伟 Tony Leung Chiu Wai / 林青霞 Bri...,1993,香港,喜剧 古装,8.7,294554人评价,百看不厌。
92,93,致命ID,Identity,杀人游戏  /  致命身份, James Mangold, John Cusack / Ray Liotta / Amanda Peet,2003,美国,剧情 悬疑 惊悚,8.6,341487人评价,最不可能的那个人永远是最可能的。
93,94,甜蜜蜜,Comrades: Almost a Love Story,, 陈可辛 Peter Chan, 黎明 Leon Lai / 张曼玉 Maggie Cheung / ...,1996,香港,剧情 爱情,8.8,246531人评价,相逢只要一瞬间，等待却像是一辈子。
94,95,断背山,Brokeback Mountain,断臂山, 李安 Ang Lee, 希斯·莱杰 Heath Ledger / 杰克·吉伦哈尔 Jake...,2005,美国 加拿大,剧情 爱情 同性 家庭,8.6,341894人评价,每个人心中都有一座断背山。
95,96,一一,,Yi yi  /  Yi yi: A One and a Two, 杨德昌 Edward Yang, 吴念真 / 李凯莉 Kelly Lee / 金燕玲 Elai...,2000,台湾 日本,剧情 爱情 家庭,8.9,165757人评价,我们都曾经是一一。
96,97,阳光姐妹淘,써니,阳光姊妹淘(港)  /  桑尼, 姜炯哲 Hyeong-Cheol Kang, 沈恩京 Eun-kyung Shim / 闵孝琳 Hy...,2011,韩国,剧情 喜剧,8.8,287187人评价,再多各自牛逼的时光，也比不上一起傻逼的岁月。
97,98,告白,,自白  /  母亲, 中岛哲也 Tetsuya Nakashima, 松隆子 Takako Matsu / 冈田将生 ...,2010,日本,剧情 惊悚,8.7,365011人评价,没有一人完全善，也没有一人完全恶。
98,99,猫鼠游戏,Catch Me If You Can,逍遥法外  /  神鬼交锋(台), 史蒂文·斯皮尔伯格 Steven Spielberg, 莱昂纳多·迪卡普里奥 L...,2002,美国 加拿大,传记 犯罪 剧情,8.7,248105人评价,骗子大师和执著警探的你追我跑故事。
99,100,加勒比海盗,Pirates of the Caribbean: The Curse of the Black Pearl,加勒比海盗1：黑珍珠号的诅咒  /  神鬼奇航：鬼盗船魔咒(台), 戈尔·维宾斯基 Gore Verbinski, 约翰尼·德普 Johnny Depp / ...,2003,美国,动作 冒险 奇幻,8.6,369874人评价,约翰尼·德普的独角戏。
100,101,上帝之城,Cidade de Deus,无主之城 (港)  /  无法无天 (台), Kátia Lund / Fernando Meirelles, Alexandre Rodrigues / Lea...,2002,巴西 法国,犯罪 剧情,8.9,165884人评价,被上帝抛弃了的上帝之城。
101,102,摩登时代,Modern Times,"The Masses  /  Temps modernes, Les", 查理·卓别林 Charles Chaplin, 查理·卓别林 Charles Chaplin ...,1936,美国,喜剧 剧情 爱情,9.2,96645人评价,大时代中的人生，小人物的悲喜。
102,103,穿条纹睡衣的男孩,The Boy in the Striped Pajamas,穿条纹衣服的男孩  /  穿条纹衣的男孩, 马克·赫门 Mark Herman, 阿沙·巴特菲尔德 Asa Butterfield / ...,2008,英国 美国,剧情 战争,8.9,160082人评价,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
103,104,阿凡达,Avatar,天神下凡(港)  /  化身, 詹姆斯·卡梅隆 James Cameron, 萨姆·沃辛顿 Sam Worthington ...,2009,美国 英国,动作 战争 科幻 冒险,8.6,560928人评价,绝对意义上的美轮美奂。
104,105,爱在黎明破晓前,Before Sunrise,情留半天(港)  /  爱在黎明破晓时(台), 理查德·林克莱特 Richard Linklater, 伊桑·霍克 Ethan Hawke ...,1995,美国 奥地利 瑞士,剧情 爱情,8.7,235788人评价,缘分是个连绵词，最美不过一瞬。
105,106,消失的爱人,Gone Girl,失踪的女孩  /  失踪女孩, 大卫·芬奇 David Fincher, 本·阿弗莱克 Ben Affleck / 罗莎蒙...,2014,美国,剧情 犯罪 悬疑 惊悚,8.7,381614人评价,年度最佳date movie。
