,排名,电影中文名,电影外文名,电影别名,导演,演员,年份,地区,类别,评分,评分人数,电影概况
171,172,一次别离,جدایی نادر از سیمین,分居风暴(台)  /  伊朗式分居(港), 阿斯哈·法哈蒂  Asghar Farhadi, 佩曼·莫阿迪 Peyman Moadi /...,2011,伊朗 法国,剧情 家庭,8.7,137588人评价,只有有信仰的人才能说出事实真相。
172,173,爆裂鼓手,Whiplash,鼓动真我(港)  /  进击的鼓手(台), 达米安·沙泽勒 Damien Chazelle, 迈尔斯·特勒 Miles Teller /...,2014,美国,剧情 音乐,8.6,249024人评价,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。
173,174,撞车,Crash,冲击效应  /  冲撞, 保罗·哈吉斯 Paul Haggis, 桑德拉·布洛克 Sandra Bullock / ...,2004,美国 德国,犯罪 剧情,8.6,180039人评价,天使与魔鬼的冲撞。
174,175,未麻的部屋,Perfect Blue,蓝色的恐惧  /  蓝色恐惧, 今敏 Satoshi Kon, 岩男润子 Junko Iwao / 松本梨香 Rica Matsu...,1997,日本,动画 奇幻 惊悚,8.8,103107人评价,好的剧本是，就算你猜到了结局也猜不到全部。
175,176,可可西里,Kekexili: Mountain Patrol,, 陆川 Chuan Lu, 多布杰 Duobujie / 张磊 Lei Zhang / 亓亮 Qi L...,2004,中国大陆 香港,剧情 犯罪,8.7,134332人评价,坚硬的信仰。
176,177,战争之王,Lord of War,军火之王(台 / 港), 安德鲁·尼科尔 Andrew Niccol, 尼古拉斯·凯奇 Nicolas Cage /...,2005,美国 法国,剧情 犯罪,8.5,181037人评价,做一颗让别人需要你的棋子。
177,178,地球上的星星,Taare Zameen Par,心中的小星星(台)  /  每一个孩子都是特别的, 阿米尔·汗 Aamir Khan, 达席尔·萨法瑞 Darsheel Safary / 阿...,2007,印度,剧情 儿童 家庭,8.8,89043人评价,天使保护事件始末。
178,179,恐怖游轮,Triangle,汪洋血迷宮(台)  /  轮回三角, 克里斯托弗·史密斯 Christopher Smith, 梅利莎·乔治 Melissa ...,2009,英国 澳大利亚,剧情 悬疑 惊悚,8.3,340194人评价,不要企图在重复中寻找已经失去的爱。
179,180,请以你的名字呼唤我,Call Me by Your Name,以你的名字呼唤我(港 / 台), 卢卡·圭达尼诺 Luca Guadagnino, 蒂莫西·柴勒梅德 Timothée ...,2017,意大利 法国 巴西 美国,剧情 爱情 同性,8.8,166076人评价,沉醉在电影的情感和视听氛围中无法自拔。
180,181,梦之安魂曲,Requiem for a Dream,噩梦挽歌(台)  /  迷上瘾(港), 达伦·阿伦诺夫斯基 Darren Aronofsky, 艾伦·伯斯汀 Ellen Bur...,2000,美国,剧情,8.7,115779人评价,一场没有春天的噩梦。
